date,Excess_Market_Return,smb,HML,RMW,CMA,Please cite the following paper if you use the data:
31-Mar-00,0.015921517,0.015382812,-0.051796172,-0.012205591,0.064516682,
30-Apr-00,-0.021977679,-0.12011445,0.083056509,0.090338543,-0.059878585,
31-May-00,-0.020210123,-0.035717177,0.044434254,0.052201888,-0.011254022,
30-Jun-00,0.057928783,-0.022708913,0.00264439,-0.030473842,-0.022216288,
31-Jul-00,-0.011213299,0.109182464,-0.006273397,-0.008448247,-0.002990342,
31-Aug-00,0.007447049,-0.004246826,0.037966404,0.033612825,-0.05984054,
30-Sep-00,-0.023324756,-0.048141573,0.078951077,0.004573159,-0.05610423,
31-Oct-00,-0.001117836,-0.010707346,-0.055954522,0.094081967,0.073227442,
30-Nov-00,0.012541333,0.025928308,-0.020049285,0.057986668,0.063428456,
31-Dec-00,-0.007132599,-0.009353036,0.027984292,0.00761188,0.052054155,
31-Jan-01,0.030584594,-0.000362179,-0.010867903,0.003046202,-0.007796374,
28-Feb-01,0.001934491,-0.039282989,0.038209592,0.002959151,0.040472648,
31-Mar-01,-0.03631784,-0.036757815,0.024893587,0.060642966,0.022459236,
30-Apr-01,0.045553053,-0.022748941,0.024205274,0.000255217,0.056801752,
31-May-01,0.015257222,0.013527245,-0.001930631,0.039826711,0.007855709,
30-Jun-01,0.020797015,-0.022693989,0.043618193,0.023433889,-0.042507096,
31-Jul-01,-0.038580791,-0.007207978,0.054111675,0.033775346,0.007004289,
31-Aug-01,-0.006704235,-0.009634643,0.011569701,0.061639346,-0.04732583,
30-Sep-01,-0.064085136,-0.039656165,0.000814589,-0.010199964,-0.00184216,
31-Oct-01,0.058078187,0.029257611,0.000520777,0.032222314,-0.006227636,
30-Nov-01,0.02965509,0.034095503,0.00016125,0.05474111,0.035885206,
31-Dec-01,0.020267127,0.000521131,0.022951501,0.004466294,-0.008940754,
31-Jan-02,0.018681944,0.039413549,-0.006362701,0.006646008,0.028931411,
28-Feb-02,-0.007804094,0.035167121,0.000702994,0.028890369,0.026790365,
31-Mar-02,0.002994692,0.001435644,0.024604432,0.029764828,-6.46E-06,
30-Apr-02,-0.018826198,0.013551716,0.013740224,0.012303829,0.012856132,
31-May-02,0.007151025,-0.001577532,0.01654473,-0.000423302,0.01517659,
30-Jun-02,-0.039427469,-0.006430778,-0.018637333,0.012026809,0.011170444,
31-Jul-02,-0.045725156,-0.000845799,0.055859117,0.016664024,-0.00233472,
31-Aug-02,0.015270559,0.007943132,-0.02626829,0.051354637,-0.028468969,
30-Sep-02,-0.044471699,-0.007276224,-0.015404848,0.03652222,0.04430511,
31-Oct-02,0.013522971,-0.030008615,0.036419078,0.009322583,0.011627531,
30-Nov-02,0.001789289,-0.011513241,0.058848469,-0.027463071,-0.006953834,
31-Dec-02,-0.009162627,0.020124124,0.004175281,0.00790849,0.02164154,
31-Jan-03,-0.016973795,0.038396304,0.010272607,0.010902685,0.020621686,
28-Feb-03,-0.053525277,-0.006982085,0.027211694,0.027948258,0.030515057,
31-Mar-03,0.027139725,-0.053947485,0.008195623,0.025417006,-0.013829164,
30-Apr-03,0.034007063,0.001890727,0.016045202,0.002381703,0.009550339,
31-May-03,0.002228419,-0.001022129,-0.006295469,0.005392891,0.000566129,
30-Jun-03,0.016189478,0.003514258,-0.022269395,0.011964942,0.021035103,
31-Jul-03,0.032361527,0.07460534,0.021935914,-0.007812232,-0.00197644,
31-Aug-03,0.032049407,0.038576195,-0.009984954,0.004483426,0.004912179,
30-Sep-03,-0.000044166,0.067776886,-0.028348637,-0.022707853,0.03163754,
31-Oct-03,0.031678776,0.024201038,0.014276745,-0.005920219,0.020817046,
30-Nov-03,-0.013132094,-0.022247933,-0.007183028,0.020753719,-0.003841346,
31-Dec-03,0.030462396,-0.012557564,0.021225044,-0.018763323,-0.001012813,
31-Jan-04,-0.011349007,0.05456259,0.016787378,0.027295596,-0.010967201,
29-Feb-04,0.022131433,-0.010716229,0.01068829,-0.020970084,0.01535163,
31-Mar-04,0.013668086,-0.05939368,0.013355653,-0.02867526,-0.056498919,
30-Apr-04,-0.01474753,-0.046709262,0.058127609,0.049727216,0.007629683,
31-May-04,0.010812265,-0.041435456,0.010928376,-0.01195849,0.015603819,
30-Jun-04,0.021922365,-0.042799255,0.007718846,0.021622591,-0.019679713,
31-Jul-04,0.004955471,0.058415051,0.028293289,0.009678827,0.031401178,
31-Aug-04,0.010069823,-0.009287576,0.021173693,-0.012277598,-0.026358502,
30-Sep-04,0.02696519,-0.014187736,-0.021841744,-0.001916325,-0.000908277,
31-Oct-04,0.026076858,0.025175008,-0.027902563,-0.031178688,-0.024357519,
30-Nov-04,0.041899957,0.016340149,-0.009176729,-0.001951988,0.044078435,
31-Dec-04,0.020473591,-0.040135364,0.0033644,0.032567763,0.007969642,
31-Jan-05,0.01185784,0.034814807,-0.008020949,-0.024449362,0.004886922,
28-Feb-05,0.015405568,-0.012243375,-0.012145116,0.003132727,0.022729989,
31-Mar-05,-0.015574166,-0.025901742,0.017820593,0.010500803,-0.016395738,
30-Apr-05,-0.039891797,-0.010833957,0.025252693,-0.014502766,-0.001499233,
31-May-05,0.023535632,-0.04896647,0.023900058,0.036618332,-0.00563621,
30-Jun-05,0.041733254,-0.040273806,-0.029905519,-0.008081034,0.015619354,
31-Jul-05,0.023812641,0.027939082,-0.021483499,-0.008101231,0.01594241,
31-Aug-05,0.020240256,0.016008684,0.002237544,0.005467403,0.006976253,
30-Sep-05,0.042909247,0.026267238,-0.029605264,-0.062092415,0.042900625,
31-Oct-05,-0.042421259,0.029219748,0.018486224,0.039064363,0.021358391,
30-Nov-05,0.042445655,-0.022821166,-0.020975031,0.020564138,0.004007233,
31-Dec-05,0.027285876,-0.038287604,-0.00423803,-0.003526839,-0.032235965,
31-Jan-06,0.029320236,0.001474239,-0.017471479,-0.042402699,-0.028385669,
28-Feb-06,0.003403011,0.035621749,-0.003443042,0.014305302,0.003235127,
31-Mar-06,0.042883699,-0.008883031,-0.021002018,-0.012470491,-0.005245243,
30-Apr-06,0.018222403,0.018389447,-0.022674568,-0.020423707,-0.038072781,
31-May-06,-0.04307708,-0.016355244,0.035350182,0.022777825,0.022776654,
30-Jun-06,0.0100748,-0.058068295,0.024140195,0.012878092,-0.015980603,
31-Jul-06,-0.017947883,0.061698195,-0.014109812,0.005486307,0.028131879,
31-Aug-06,0.025427099,0.009019976,-0.008882584,0.032775999,0.027253358,
30-Sep-06,0.009548703,-0.007171195,-0.007279347,0.046493218,-0.004937737,
31-Oct-06,0.042360388,0.022268174,-0.045805649,0.025484726,-0.015782854,
30-Nov-06,0.019765586,0.048210254,-0.009907025,-0.017459048,0.012950986,
31-Dec-06,0.032388433,-0.000687068,-0.001535505,0.018658006,-0.009842793,
31-Jan-07,0.018557742,0.013432581,0.018309436,0.024637643,0.03692461,
28-Feb-07,0.006941526,-0.045490828,-0.024714494,0.044309328,-0.012392442,
31-Mar-07,0.025714367,-0.025971054,-0.040876048,0.015880554,0.019886263,
30-Apr-07,0.02599187,0.004728871,-0.034514879,0.005277544,-0.010292395,
31-May-07,0.028064942,-0.003271033,-0.018786948,-0.001480407,-0.011244802,
30-Jun-07,-0.006121568,0.0309855,-0.022866356,0.014031931,-0.017284949,
31-Jul-07,-0.02238858,0.02539301,-0.007109605,0.02603805,-0.00163031,
31-Aug-07,0.000632275,-0.083432289,0.012804765,0.037074917,0.011081717,
30-Sep-07,0.04982116,-0.010447325,-0.077935594,-0.000883341,-0.006534239,
31-Oct-07,0.024228851,0.013639603,-0.05276317,0.015159647,-0.039675794,
30-Nov-07,-0.030418915,-0.006977475,0.073105043,0.020263523,0.001360428,
31-Dec-07,-0.025016593,0.010117584,-0.016318218,-0.026450842,-0.024413696,
31-Jan-08,-0.117656114,-0.042546391,0.05038557,0.030527169,0.051795288,
